Delegacia,Furtos,Roubo_de_carga,Roubos,Roubo_de_veiculos_total,Furto_de_veiculo,Latrocinios,Homicidio_doloso_por_acidente_de_transito,Homicidio_Culposo_por_acidente_de_Transito,Homicidio_Culposo,Tentativa_de_Homicidio,Lesao_Corporal_seguida_de_morte,Lesao_Corporal_Dolosa,Lesao_Corporal_Culposa_por_acidente_de_transito,Lesao_Corporal_Culposa,Estupro,Estupro_de_vulneravel,Roubo_a_Banco,Ano
9ª DDM - 3ª Seccional - Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del. Aeroporto Int. SP - Guarulhos (SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia de Proteção ao Idoso - 1ª Seccional - Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
OUTRAS ESPECIALIZADAS,4,0,4,0,0,0,0,0,0,0,0,20,2,0,0,0,0,2019
6ª DDM - 6ª Seccional - Santo Amaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 7ª Seccional - Itaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
5ª DDM - 5ª Seccional - Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia Porto de Santos (SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 5ª Seccional - Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
7ª DDM - 7ª Seccional - Itaquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 4ª Seccional - Norte,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2019
3ª DDM - 3ª Seccional - Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 8ª Seccional - São Mateus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019
DELPOL Metropolitano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1ª DDM - 1ª Seccional - Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2ª DDM - 2ª Seccional - Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del. Pol. Atendimento ao Turista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 3ª Seccional - Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del. Aeroporto Int. Viracopos - CPS (SP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 6ª Secional - Santo Amaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Delegacia do Idoso - 2ª Seccional - Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
8ª DDM - 8ª Seccional São Mateus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Central de Flagrantes II - 91 DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Del. Aeroporto SP - Congonhas,73,0,0,1,3,0,0,0,0,0,0,4,2,0,0,1,0,2019
01 DP Pessoa com Deficiência,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,2019
4ª DDM - 4ª Seccional - Norte,0,0,0,0,0,0,0,0,0,0,0,257,1,59,0,4,0,2019
057 DP - Parque da Moóca,633,5,337,69,331,0,0,0,1,0,0,113,76,8,7,4,0,2019
026 DP - Sacomã,535,13,746,246,128,1,0,1,0,0,0,272,80,6,0,5,0,2019
099 DP - Campo Grande,1869,14,1014,211,366,4,0,5,0,0,0,202,187,9,5,7,0,2019
052 DP - Parque São Jorge,2251,22,624,45,426,0,0,2,1,0,0,140,77,10,5,10,0,2019
018 DP - Alto da Moóca,842,10,224,28,138,1,0,1,0,1,0,85,62,25,0,1,0,2019
081 DP - Belém,770,20,386,15,131,3,0,0,0,2,0,109,49,32,2,1,0,2019
036 DP - Vila Mariana,4344,1,1160,31,349,0,0,0,1,2,0,143,122,29,5,4,0,2019
002 DP - Bom Retiro,4863,14,1063,20,97,3,0,2,0,2,0,177,85,7,8,5,0,2019
029 DP - Vila Diva,686,5,583,131,595,1,0,6,0,2,0,155,99,7,5,7,0,2019
004 DP - Consolação,6535,2,2691,13,260,3,0,1,0,2,0,229,92,4,8,12,0,2019
023 DP - Perdizes,7924,9,2066,84,748,5,0,5,1,2,0,297,193,14,11,12,0,2019
015 DP - Itaim Bibi,5595,6,1175,47,354,1,0,1,0,3,0,143,186,8,8,3,1,2019
030 DP - Tatuapé,2652,12,947,153,1053,7,0,4,0,3,0,293,222,26,10,4,1,2019
056 DP - Vila Alpina,1455,28,1181,215,674,3,0,1,0,3,0,172,143,9,4,5,0,2019
031 DP - Vila Carrão,516,7,422,73,379,1,0,1,0,3,0,109,87,7,1,5,0,2019
096 DP - Monções,3301,7,1183,70,375,2,0,2,0,3,0,257,138,30,2,6,0,2019
014 DP - Pinheiros,8755,10,2591,117,738,5,0,3,1,3,1,304,246,23,8,9,2,2019
009 DP - Carandiru,3973,39,1443,90,733,6,0,7,0,3,0,238,186,45,9,12,0,2019
083 DP - Parque Bristol,675,16,854,317,174,8,0,1,1,3,0,373,108,4,9,14,0,2019
010 DP - Penha de França,2049,34,1263,177,959,1,0,4,0,3,0,362,220,21,13,27,0,2019
078 DP - Jardins,12278,2,2203,16,401,1,1,3,1,4,0,269,188,18,6,3,0,2019
102 DP - Socorro,838,7,707,82,128,2,0,6,0,4,1,131,145,10,4,3,0,2019
058 DP - Vila Formosa,545,2,479,96,442,1,0,4,0,4,0,149,88,0,5,6,0,2019
065 DP - Artur Alvim,2586,3,1091,227,287,4,0,2,1,4,0,310,102,14,3,6,0,2019
017 DP - Ipiranga,1824,33,1109,384,838,1,0,3,1,4,0,266,152,19,3,8,0,2019
091 DP - Ceagesp,1475,40,661,88,465,1,0,6,0,4,0,179,123,5,3,9,0,2019
048 DP - Cidade Dutra,1698,10,1014,137,152,3,0,2,0,4,0,183,139,7,5,11,0,2019
051 DP - Butantã,1724,26,1446,223,183,0,0,3,0,4,0,243,143,6,11,12,0,2019
042 DP - Parque São Lucas,825,12,1059,203,893,3,0,4,0,4,0,219,137,28,6,14,0,2019
028 DP - Freguesia do Ó,1545,48,1240,322,343,7,0,0,0,4,0,323,211,9,8,14,1,2019
095 DP - Heliópolis,815,82,1603,513,351,6,0,3,0,4,0,362,112,4,4,18,0,2019
005 DP - Aclimação,3295,5,1190,21,441,5,0,1,1,5,0,312,140,7,14,5,1,2019
